date,fund,company,ticker,cusip,shares,market value($),weight(%)
7/14/2021,ARKK,TESLA INC,TSLA,88160R101,3592976.0,2402048175.04,10.4
7/14/2021,ARKK,ROKU INC,ROKU,77543R102,3238022.0,1383023956.64,5.99
7/14/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8573751.0,1322158141.71,5.72
7/14/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,724029.0,1097968257.63,4.75
7/14/2021,ARKK,SQUARE INC - A,SQ,852234103,4435589.0,1070884252.27,4.64
7/14/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2790746.0,1055990378.94,4.57
7/14/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,3808527.0,926652704.37,4.01
7/14/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2300806.0,895611743.56,3.88
7/14/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3309559.0,873227142.15,3.78
7/14/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,7692619.0,796493771.26,3.45
7/14/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6349016.0,700042504.16,3.03
7/14/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4915394.0,666281656.7,2.89
7/14/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,5693338.0,651773334.24,2.82
7/14/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4392928.0,630033733.76,2.73
7/14/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2111050.0,598862664.0,2.59
7/14/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,22367214.0,502143954.3,2.17
7/14/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2683567.0,486584368.44,2.11
7/14/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,7105836.0,457331604.96,1.98
7/14/2021,ARKK,TWITTER INC,TWTR,90184L102,6542135.0,455332596.0,1.97
7/14/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4575098.0,414915637.62,1.8
7/14/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,8705371.0,415507357.83,1.8
7/14/2021,ARKK,SEA LTD-ADR,SE,81141R100,1373140.0,385769951.6,1.67
7/14/2021,ARKK,INVITAE CORP,NVTA,46185L103,12600032.0,376362955.84,1.63
7/14/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8272709.0,321642925.92,1.39
7/14/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,3917164.0,318896321.24,1.38
7/14/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,3767061.0,269005826.01,1.16
7/14/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2146857.0,258223959.96,1.12
7/14/2021,ARKK,SKILLZ INC,SKLZ,83067L109,15334818.0,255938112.42,1.11
7/14/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,9885958.0,244677460.5,1.06
7/14/2021,ARKK,TERADYNE INC,TER,880770102,1919000.0,243310010.0,1.05
