date,fund,company,ticker,cusip,shares,market value($),weight(%),market value ($),weight (%)
10/05/2021,ARKK,TESLA INC,TSLA,88160R101,"2,515,598",,,"$1,966,015,304.94",10.25%
10/05/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,"8,910,064",,,"$1,090,591,833.60",5.69%
10/05/2021,ARKK,ROKU INC,ROKU,77543R102,"3,538,002",,,"$1,050,291,273.72",5.48%
10/05/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"4,422,696",,,"$1,014,168,419.76",5.29%
10/05/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,"7,818,565",,,"$937,055,015.25",4.88%
10/05/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"3,442,346",,,"$893,564,174.68",4.66%
10/05/2021,ARKK,SQUARE INC - A,SQ,852234103,"3,323,309",,,"$751,898,661.25",3.92%
10/05/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"3,323,945",,,"$737,616,634.95",3.85%
10/05/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"550,913",,,"$724,395,503.70",3.78%
10/05/2021,ARKK,TWILIO INC - A,TWLO,90138F102,"2,044,559",,,"$640,396,769.98",3.34%
10/05/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,"6,748,143",,,"$628,926,927.60",3.28%
10/05/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"12,009,933",,,"$616,710,059.55",3.21%
10/05/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,"6,895,877",,,"$588,769,978.26",3.07%
10/05/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"24,106,570",,,"$558,549,226.90",2.91%
10/05/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,"11,022,983",,,"$534,173,756.18",2.78%
10/05/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"4,083,152",,,"$517,662,010.56",2.70%
10/05/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"4,959,176",,,"$507,968,397.68",2.65%
10/05/2021,ARKK,TWITTER INC,TWTR,90184L102,"8,046,009",,,"$469,806,465.51",2.45%
10/05/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,157,281",,,"$428,054,323.00",2.23%
10/05/2021,ARKK,INVITAE CORP,NVTA,46185L103,"15,863,084",,,"$420,688,987.68",2.19%
10/05/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,"6,193,571",,,"$349,379,340.11",1.82%
10/05/2021,ARKK,DOCUSIGN INC,DOCU,256163106,"1,278,947",,,"$315,349,961.79",1.64%
10/05/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,135,891",,,"$307,568,304.00",1.60%
10/05/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"7,435,228",,,"$286,553,687.12",1.49%
10/05/2021,ARKK,PAGERDUTY INC,PD,69553P100,"6,953,712",,,"$275,227,920.96",1.43%
10/05/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,"7,158,820",,,"$244,760,055.80",1.28%
10/05/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"5,670,164",,,"$232,079,812.52",1.21%
10/05/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"9,003,166",,,"$219,227,092.10",1.14%
10/05/2021,ARKK,2U INC,TWOU,90214J101,"5,016,176",,,"$170,299,175.20",0.89%
10/05/2021,ARKK,VERACYTE INC,VCYT,92337F107,"3,806,446",,,"$164,438,467.20",0.86%
10/05/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,569,597",,,"$157,995,634.02",0.82%
10/05/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,"4,042,713",,,"$150,752,767.77",0.79%
10/05/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,"13,246,030",,,"$150,739,821.40",0.79%
10/05/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,"8,916,710",,,"$151,762,404.20",0.79%
10/05/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,"5,421,720",,,"$141,073,154.40",0.74%
10/05/2021,ARKK,TRIMBLE INC,TRMB,896239100,"1,374,892",,,"$111,874,962.04",0.58%
10/05/2021,ARKK,SKILLZ INC,SKLZ,83067L109,"11,829,339",,,"$106,464,051.00",0.56%
10/05/2021,ARKK,PROTO LABS INC,PRLB,743713109,"1,480,573",,,"$96,015,159.05",0.50%
10/05/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,"4,719,813",,,"$86,938,955.46",0.45%
10/05/2021,ARKK,STRATASYS LTD,SSYS,M85548101,"3,583,298",,,"$77,793,399.58",0.41%
10/05/2021,ARKK,CERUS CORP,CERS,157085101,"10,401,107",,,"$62,094,608.79",0.32%
10/05/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,"3,146,944",,,"$59,571,649.92",0.31%
10/05/2021,ARKK,SEA LTD-ADR,SE,81141R100,"149,270",,,"$47,452,933.00",0.25%
10/05/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,"5,472,074",,,"$33,106,047.70",0.17%
10/05/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,"639,350",,,"$28,943,374.50",0.15%
10/05/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,"1,500",,,"$82,050.00",0.00%
10/05/2021,ARKQ,TESLA INC,TSLA,88160R101,"344,421",,,"$269,175,344.13",10.94%
10/05/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"7,975,149",,,"$176,171,041.41",7.16%
10/05/2021,ARKQ,TRIMBLE INC,TRMB,896239100,"2,125,808",,,"$172,976,996.96",7.03%
10/05/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,"3,269,374",,,"$167,882,354.90",6.82%
10/05/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,"1,169,260",,,"$140,135,811.00",5.69%
10/05/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"2,909,113",,,"$112,117,215.02",4.55%
10/05/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,"265,627",,,"$91,904,285.73",3.73%
10/05/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,"3,857,071",,,"$90,216,890.69",3.67%
10/05/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,"1,251,773",,,"$86,885,563.93",3.53%
10/05/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,"3,155,960",,,"$82,338,996.40",3.35%
10/05/2021,ARKQ,DEERE & CO,DE,244199105,"231,201",,,"$78,247,666.44",3.18%
10/05/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,"74,349",,,"$72,155,704.50",2.93%
10/05/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,"23,276",,,"$62,270,282.80",2.53%
10/05/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,"1,823,790",,,"$62,355,380.10",2.53%
10/05/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,"705,897",,,"$60,890,675.22",2.47%
10/05/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,"2,441,608",,,"$55,278,005.12",2.25%
10/05/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,"700,474",,,"$54,272,725.52",2.20%
10/05/2021,ARKQ,TERADYNE INC,TER,880770102,"476,986",,,"$51,166,288.22",2.08%
10/05/2021,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,"8,131,535",,,"$49,439,732.80",2.01%
10/05/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,"8,823,213",,,"$47,468,885.94",1.93%
10/05/2021,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,"4,307,556",,,"$43,721,693.40",1.78%
10/05/2021,ARKQ,CATERPILLAR INC,CAT,149123101,"216,160",,,"$41,746,980.80",1.70%
10/05/2021,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,"4,946,086",,,"$38,826,775.10",1.58%
10/05/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,"233,070",,,"$34,119,117.30",1.39%
10/05/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,"233,623",,,"$33,349,683.25",1.35%
10/05/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"72,152",,,"$31,002,271.36",1.26%
10/05/2021,ARKQ,2U INC,TWOU,90214J101,"816,823",,,"$27,731,140.85",1.13%
10/05/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,"1,390,734",,,"$26,326,594.62",1.07%
10/05/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,"88,107",,,"$25,484,949.75",1.04%
10/05/2021,ARKQ,PROTO LABS INC,PRLB,743713109,"382,494",,,"$24,804,735.90",1.01%
