date,fund,company,ticker,shares,market value($),weight(%)
12/17/2020,ARKF,SQUARE INC - A,SQ,799656.0,184512625.44,11.1
12/17/2020,ARKF,MERCADOLIBRE INC,MELI,47521.0,79834804.79,4.8
12/17/2020,ARKF,ZILLOW GROUP INC - C,Z,554330.0,76791334.9,4.62
12/17/2020,ARKF,PINTEREST INC- CLASS A,PINS,951984.0,67590864.0,4.07
12/17/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,584196.0,65891466.84,3.9600000000000004
12/17/2020,ARKF,ADYEN NV,ADYEN,26474.0,61889422.83,3.7199999999999998
12/17/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,262349.0,61785812.99,3.7199999999999998
12/17/2020,ARKF,SEA LTD-ADR,SE,299195.0,59255569.75,3.56
12/17/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,748328.0,56334131.84,3.39
12/17/2020,ARKF,LENDINGTREE INC,TREE UW,172402.0,46988165.1,2.83
12/17/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,176346.0,46631172.78,2.81
12/17/2020,ARKF,TWILIO INC - A,TWLO,123223.0,44492128.61,2.68
12/17/2020,ARKF,MEITUAN-CLASS B,3690,1192615.0,43843877.38,2.64
12/17/2020,ARKF,SNAP INC - A,SNAP,788371.0,41980755.75,2.53
12/17/2020,ARKF,DOCUSIGN INC,DOCU,167139.0,41283333.0,2.48
12/17/2020,ARKF,APPLE INC,AAPL,281933.0,36284777.1,2.18
12/17/2020,ARKF,AMAZON.COM INC,AMZN,10814.0,34994969.12,2.11
12/17/2020,ARKF,FACEBOOK INC-CLASS A,FB,121616.0,33381159.68,2.01
12/17/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,544996.0,32170645.98,1.94
12/17/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,6464545.0,31937474.01,1.92
12/17/2020,ARKF,Z HOLDINGS CORP,4689,5246807.0,31280949.11,1.8800000000000001
12/17/2020,ARKF,SPLUNK INC,SPLK,183219.0,30461990.94,1.83
12/17/2020,ARKF,INTUIT INC,INTU,73325.0,27886964.0,1.68
12/17/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,516636.0,27350709.84,1.6500000000000001
12/17/2020,ARKF,WORKDAY INC-CLASS A,WDAY,111651.0,26775026.31,1.6099999999999999
12/17/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,836587.0,24629121.28,1.48
12/17/2020,ARKF,PINDUODUO INC-ADR,PDD,151540.0,22723423.0,1.37
