date,fund,company,ticker,holding,market value($),weight(%),action,shares
2021-01-05,ARKK,TESLA INC,TSLA,2688429.0,1976291042.19,10.76,Buy,10263.0
2021-01-05,ARKK,ROKU INC,ROKU,3743306.0,1254681305.08,6.83,Buy,14278.0
2021-01-05,ARKK,SQUARE INC - A,SQ,4349198.0,999228240.5,5.44,Buy,16599.0
2021-01-05,ARKK,TELADOC HEALTH INC,TDOC,3938591.0,791538633.27,4.31,Buy,15026.0
2021-01-05,ARKK,ZILLOW GROUP INC - C,Z,4270440.0,579263833.8,3.15,Buy,16291.0
2021-01-05,ARKK,PURE STORAGE INC - CLASS A,PSTG,22262889.0,520061087.04,2.83,Buy,84942.0
2021-01-05,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,1563910.0,490629845.2,2.67,Buy,5973.0
2021-01-05,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,8757032.0,391789611.68,2.13,Buy,33418.0
2021-01-05,ARKK,TWILIO INC - A,TWLO,1160897.0,396144492.28,2.16,Buy,4433.0
2021-01-05,ARKK,BAIDU INC - SPON ADR,BIDU,1730104.0,370242256.0,2.02,Buy,6600.0
2021-01-05,ARKK,PAYPAL HOLDINGS INC,PYPL,1547429.0,363506546.39,1.98,Buy,5907.0
2021-01-05,ARKK,EXACT SCIENCES CORP,EXAS,2750538.0,348988261.44,1.9,Buy,10494.0
2021-01-05,ARKK,DOCUSIGN INC,DOCU,1530240.0,349659840.0,1.9,Buy,5841.0
2021-01-05,ARKK,SHOPIFY INC - CLASS A,SHOP,309418.0,346158293.32,1.89,Buy,1177.0
2021-01-05,ARKK,TWIST BIOSCIENCE CORP,TWST,2530427.0,350464139.5,1.91,Buy,9658.0
2021-01-05,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,2768921.0,312251221.17,1.7,Buy,10560.0
2021-01-05,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2633779.0,299039267.66,1.63,Buy,10054.0
2021-01-05,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,812570.0,293199633.1,1.6,Buy,3102.0
2021-01-05,ARKK,KE HOLDINGS INC,BEKE,4404028.0,271904688.72,1.48,Buy,16808.0
2021-01-05,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3084031.0,249436427.28,1.36,Buy,11770.0
2021-01-05,ARKK,UNITY SOFTWARE INC,U,1584057.0,235580957.04,1.28,Buy,6050.0
2021-01-05,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2661364.0,204020164.24,1.11,Buy,10153.0
2021-01-05,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,4794151.0,190231911.68,1.04,Buy,18293.0
2021-01-05,ARKK,SPLUNK INC,SPLK,1068892.0,178205674.24,0.97,Buy,4081.0
2021-01-05,ARKK,SYNOPSYS INC,SNPS,666239.0,172482614.71,0.94,Buy,2541.0
2021-01-05,ARKK,SEA LTD-ADR,SE,865503.0,175636523.79,0.96,Buy,3300.0
2021-01-05,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2455502.0,168005446.84,0.91,Buy,9372.0
2021-01-05,ARKK,PINTEREST INC- CLASS A,PINS,2256943.0,154420040.06,0.84,Buy,8613.0
2021-01-05,ARKK,HUYA INC-ADR,HUYA,6338591.0,138308055.62,0.75,Buy,24189.0
2021-01-05,ARKK,EXONE CO/THE,XONE,515716.0,5121059.88,0.03,Sell,30745.0
2021-01-05,ARKQ,TESLA INC,TSLA,314123.0,230914958.53,12.62,Buy,10065.0
2021-01-05,ARKQ,MATERIALISE NV-ADR,MTLS,2240715.0,128729076.75,7.04,Buy,71820.0
2021-01-05,ARKQ,TRIMBLE INC,TRMB,1213949.0,81152490.65,4.44,Buy,133960.0
2021-01-05,ARKQ,DEERE & CO,DE,260502.0,71450488.56,3.91,Buy,8355.0
2021-01-05,ARKQ,JD.COM INC-ADR,JD,788410.0,75293155.0,4.12,Buy,25275.0
2021-01-05,ARKQ,ALPHABET INC-CL C,GOOG,38737.0,67438018.04,3.69,Buy,1245.0
2021-01-05,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2498288.0,67228930.08,3.68,Buy,185194.0
2021-01-05,ARKQ,BAIDU INC - SPON ADR,BIDU,275990.0,59061860.0,3.23,Buy,8850.0
2021-01-05,ARKQ,FLIR SYSTEMS INC,FLIR,1139089.0,60531189.46,3.31,Buy,36510.0
2021-01-05,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,503947.0,56830103.19,3.11,Buy,16155.0
2021-01-05,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1453372.0,57669800.96,3.15,Buy,46590.0
2021-01-05,ARKQ,NXP SEMICONDUCTORS NV,NXPI,342738.0,56781404.46,3.1,Buy,10980.0
2021-01-05,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,907063.0,54314932.44,2.97,Buy,29070.0
2021-01-05,ARKQ,CATERPILLAR INC,CAT,261924.0,48099723.36,2.63,Buy,8400.0
2021-01-05,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1565100.0,43447176.0,2.38,Buy,50160.0
2021-01-05,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5008856.0,42775630.24,2.34,Buy,160575.0
2021-01-05,ARKQ,WORKHORSE GROUP INC,WKHS,1939388.0,43500472.84,2.38,Buy,62160.0
2021-01-05,ARKQ,AEROVIRONMENT INC,AVAV,426790.0,37749575.5,2.06,Buy,13680.0
2021-01-05,ARKQ,SYNOPSYS INC,SNPS,130119.0,33686507.91,1.84,Buy,4170.0
2021-01-05,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1412189.0,34061998.68,1.86,Buy,45270.0
2021-01-05,ARKQ,TERADYNE INC,TER,249795.0,30347594.55,1.66,Buy,8010.0
2021-01-05,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,931440.0,26918616.0,1.47,Buy,29850.0
2021-01-05,ARKQ,NVIDIA CORP,NVDA,47279.0,25350527.01,1.39,Buy,1515.0
2021-01-05,ARKQ,XILINX INC,XLNX,172193.0,24835396.39,1.36,Buy,5520.0
2021-01-05,ARKQ,ANSYS INC,ANSS,66954.0,24092057.82,1.32,Buy,2145.0
2021-01-05,ARKQ,INTUITIVE SURGICAL INC,ISRG,27146.0,21853887.3,1.19,Buy,870.0
2021-01-05,ARKQ,SPLUNK INC,SPLK,128433.0,21412349.76,1.17,Buy,4125.0
2021-01-05,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,293110.0,22469812.6,1.23,Buy,9390.0
2021-01-05,ARKQ,AMAZON.COM INC,AMZN,6583.0,21187451.33,1.16,Buy,210.0
2021-01-05,ARKQ,APPLE INC,AAPL,155358.0,20353451.58,1.11,Buy,4980.0
2021-01-05,ARKQ,ELBIT SYSTEMS LTD,ESLT,134674.0,17860465.88,0.98,Buy,4320.0
2021-01-05,ARKQ,AUTODESK INC,ADSK,58152.0,17544458.4,0.96,Buy,1860.0
2021-01-05,ARKQ,RAVEN INDUSTRIES INC,RAVN,550224.0,17970315.84,0.98,Buy,40091.0
2021-01-05,ARKQ,ROCKWELL AUTOMATION INC,ROK,58612.0,14481266.84,0.79,Buy,1875.0
2021-01-05,ARKQ,MAGNA INTERNATIONAL INC,MGA,123068.0,8961811.76,0.49,Buy,3945.0
2021-01-05,ARKQ,HONEYWELL INTERNATIONAL INC,HON,39324.0,8197481.04,0.45,Buy,1260.0
2021-01-05,ARKW,TESLA INC,TSLA,753093.0,553606195.23,10.14,Buy,5135.0
2021-01-05,ARKW,ROKU INC,ROKU,834768.0,279797538.24,5.12,Sell,43545.0
2021-01-05,ARKW,SQUARE INC - A,SQ,1049784.0,241187874.0,4.42,Buy,7160.0
2021-01-05,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6240896.0,245953711.36,4.5,Buy,42575.0
2021-01-05,ARKW,TELADOC HEALTH INC,TDOC,950182.0,190958076.54,3.5,Buy,6480.0
2021-01-05,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,538116.0,168817751.52,3.09,Buy,3670.0
2021-01-05,ARKW,PURE STORAGE INC - CLASS A,PSTG,6867527.0,160425430.72,2.94,Buy,46845.0
2021-01-05,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,1969249.0,150962628.34,2.76,Buy,13435.0
2021-01-05,ARKW,FACEBOOK INC-CLASS A,FB,489750.0,132707557.5,2.43,Buy,3340.0
2021-01-05,ARKW,NETFLIX INC,NFLX,233717.0,121719813.6,2.23,Buy,1595.0
2021-01-05,ARKW,PINTEREST INC- CLASS A,PINS,1756548.0,120183014.16,2.2,Buy,11985.0
2021-01-05,ARKW,SNAP INC - A,SNAP,2404263.0,120958471.53,2.21,Buy,16400.0
2021-01-05,ARKW,PAYPAL HOLDINGS INC,PYPL,496585.0,116652782.35,2.14,Buy,3390.0
2021-01-05,ARKW,SEA LTD-ADR,SE,568092.0,115282909.56,2.11,Buy,3875.0
2021-01-05,ARKW,ZILLOW GROUP INC - C,Z,797131.0,108126834.5,1.98,Buy,5440.0
2021-01-05,ARKW,SHOPIFY INC - CLASS A,SHOP,94491.0,105710861.34,1.94,Buy,645.0
2021-01-05,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,890365.0,101092042.1,1.85,Buy,6075.0
2021-01-05,ARKW,FASTLY INC - CLASS A,FSLY,1159222.0,100504547.4,1.84,Buy,7910.0
2021-01-05,ARKW,TWILIO INC - A,TWLO,289990.0,98956187.6,1.81,Buy,1980.0
2021-01-05,ARKW,HUYA INC-ADR,HUYA,4437627.0,96829021.14,1.77,Buy,30270.0
2021-01-05,ARKW,NVIDIA CORP,NVDA,156155.0,83728749.45,1.53,Buy,1065.0
2021-01-05,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,225259.0,81280204.97,1.49,Buy,1535.0
2021-01-05,ARKW,UNITY SOFTWARE INC,U,490106.0,72888564.32,1.33,Sell,61610.0
2021-01-05,ARKW,DOCUSIGN INC,DOCU,348376.0,79603916.0,1.46,Buy,2375.0
2021-01-05,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3456587.0,88488627.2,1.62,Buy,310149.0
2021-01-05,ARKW,KE HOLDINGS INC,BEKE,1299725.0,80245021.5,1.47,Buy,8865.0
2021-01-05,ARKW,MERCADOLIBRE INC,MELI,45600.0,75240000.0,1.38,Buy,310.0
2021-01-05,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,881142.0,71266764.96,1.3,Buy,6010.0
2021-01-05,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,290132.0,69747732.8,1.28,Buy,1980.0
2021-01-05,ARKW,PELOTON INTERACTIVE INC-A,PTON,449148.0,66711952.44,1.22,Buy,3065.0
2021-01-05,ARKW,TRADE DESK INC/THE -CLASS A,TTD,83052.0,65489824.08,1.2,Buy,565.0
2021-01-05,ARKW,AGORA INC-ADR,API,1598241.0,67269963.69,1.23,Buy,10905.0
2021-01-05,ARKW,JD.COM INC-ADR,JD,675192.0,64480836.0,1.18,Buy,4605.0
2021-01-05,ARKW,HUBSPOT INC,HUBS,145837.0,55714109.11,1.02,Buy,995.0
2021-01-05,ARKW,APPLE INC,AAPL,430461.0,56394695.61,1.03,Buy,2935.0
2021-01-05,ARKW,CLOUDFLARE INC - CLASS A,NET,738031.0,55455649.34,1.02,Buy,5035.0
2021-01-05,ARKW,SPLUNK INC,SPLK,325678.0,54297036.16,0.99,Buy,2225.0
2021-01-05,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,477907.0,53893572.39,0.99,Buy,3260.0
2021-01-05,ARKW,ADOBE INC,ADBE,109569.0,53216567.61,0.97,Buy,750.0
2021-01-05,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1148087.0,52088707.19,0.95,Buy,7830.0
2021-01-05,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,261643.0,55269467.32,1.01,Buy,1785.0
2021-01-05,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,223301.0,52346220.42,0.96,Buy,1525.0
2021-01-05,ARKW,SALESFORCE.COM INC,CRM,227332.0,50358584.64,0.92,Buy,1550.0
2021-01-05,ARKW,SYNOPSYS INC,SNPS,185372.0,47990957.08,0.88,Buy,1265.0
2021-01-05,ARKW,OKTA INC,OKTA,186151.0,46453982.05,0.85,Buy,1270.0
2021-01-05,ARKW,BAIDU INC - SPON ADR,BIDU,187888.0,40208032.0,0.74,Buy,1280.0
2021-01-05,ARKW,NANO DIMENSION LTD - ADR,NNDM,3685268.0,31472188.72,0.58,Buy,25140.0
2021-01-05,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1340912.0,32986435.2,0.6,Buy,9150.0
2021-01-05,ARKW,SKILLZ INC,SKLZ,462019.0,10201379.52,0.19,Buy,246122.0
2021-01-05,ARKG,TELADOC HEALTH INC,TDOC,2466627.0,495718028.19,6.3,Buy,5940.0
2021-01-05,ARKG,CRISPR THERAPEUTICS AG,CRSP,2739885.0,440080328.7,5.59,Sell,107016.0
2021-01-05,ARKG,TWIST BIOSCIENCE CORP,TWST,3032707.0,420029919.5,5.34,Sell,56653.0
2021-01-05,ARKG,CAREDX INC,CDNA,4090153.0,294041099.17,3.74,Buy,9852.0
2021-01-05,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,5925838.0,265121992.12,3.37,Buy,14272.0
2021-01-05,ARKG,EXACT SCIENCES CORP,EXAS,2070726.0,262733714.88,3.34,Buy,4988.0
2021-01-05,ARKG,FATE THERAPEUTICS INC,FATE,2921693.0,253369216.96,3.22,Buy,7036.0
